"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","23547"
"query","Query:[ws(1, 129938434)]"
"Reference","Left","KWIC","Right"
"vof.no",", viser forskning. </s><s> I en studie fikk deltakerne i oppgave å løse anagrammer. </s><s> Anagrammer er ord hvor <coll>bokstavene</coll> har","byttet","plass, for eksempel er ""simagan"" et anagram av ""magasin"". </s><s> Deltakerne tok pauser i jobbingen, og da fikk én gruppe bruke"
"n24.no",", heter det. </s><s> Landskapet </s><s> Ny preikestolsjef: - Her er mitt rike </s><s> Preikestolen: Jørpelandsmannen Helge <coll>Kjellevold</coll>","bytter","ut bil med natur og blir fra 1. mars den nye sjefen for Stiftelsen Preikestolen og Lysefjorden utvikling AS. </s><s> Denne siden"
"sc2.no",", vi bare gir ut brukernavnet til de som skal ha RP til Riot. </s><s> Forøvrig har det vært komplikasjoner fordi vi mange <coll>spillere</coll>","bytter","navn/brukere konstant og da kan ikke Riot automatisk vite dette, ei vi. </s><s> Jeg har forøvrig aldri sagt at dere aldri har"
"sif.no","skolestartere på Bingsfoss. </s><s> Vi håper dette er et tilbud som vekker interesse både sportslig og sosialt. </s><s> SIF <coll>spillerne</coll>","byttet","på å være keeper gjennom turneringen. </s><s> I starten var dette også en god anledning til å hvile litt, men etter hvert som"
"sc2.no","mindre fast stamme av spillere, og vi ønsker å bytte ut så få spillere som mulig. </s><s> Det kommer såklart til å skje at <coll>spillere</coll>","bytter","team eller slutter, for sånn er det bare, men vi ønsker at når spillere blir meldemm hos oss går de ikke inn med en"
"nrk.no","spisser. </s><s> Wales og Italia leverte over all forventning med 3-5-2. </s><s> Så effektivt var Antonio Contes system, at <coll>Tyskland</coll>","byttet","4-2-3-1 med 3-4-2-1 for å matche italienerne i kvartfinalen. </s><s> Hva er årsaken? </s><s> Én faktor er at to spisser er en viktig"
"tv2.no",". </s><s> Dekkene bør sjekkes og felgene bør være de originale og ikke være kantkjørte. </s><s> På en del biler er <coll>frontfangeren</coll>","byttet","eller omlakkert. </s><s> Kombinasjonen av langt overheng og lav bil gjør at den ofte dunker nedi med ""haka"" ... Sjekk også nøye"
"nlf.no","flyr uten gyldig lisens. </s><s> Husk dette er ulovlig forsikringen din gjelder IKKE! </s><s> Sjekk DIN lisens. </s><s> Av en eller annen <coll>grunn</coll>","byttet","SMHI hirlam passord i går. </s><s> Vi tok kontakt og nytt passord sendes ut til alle medlemmer ved 17 tiden fredag 22. </s><s> Dette kom"
"uit.no","som dem selv, får de en egen måte å bruke språkene sine på tilpasset det formålet de velger. </s><s> Språkforvirret </s><s> Mens <coll>ungene</coll>","bytter","på å være papp-robot, og Grusomme Gabriel ikke lenger står på et skipsdekk – bare et bord – går praten dem imellom livlig"
"n24.no","i sommer trakk Jordi Cruyff seg som landstrener for Ecuador etter mindre enn et halvt år i stillingen, – <coll>Forbundet</coll>","byttet","ut alle i ledelsen og satte inn folk som han ikke var komfortabel med. </s><s> Allerede i dag setter den tidligere Stabæk og"
"tv2.no","til 10-14 sørget for at Norge var foran med fire da pausesignalet lød i Herning. </s><s> Nervepirrende etter pause </s> <s> <coll>Frankrike</coll>","byttet","målvakt i pausen med Cléopâtre Darleux inn for Amandine Leynaud. </s><s> Darleux åpnet med å ta de tre første avslutningene og"
"nrk.no","for å vere overadministrert, ikkje minst tidlegare spydkastar Andreas Thorkildsen. </s><s> Siste nytt </s><s> Australian <coll>Open</coll>","bytter","hotell </s><s> Australian Open har bestemt at spillerne ikke skal være i karantene på hotellet Westin Melbourne etter å ha"
"nrk.no",". </s><s> Begge har reist hjem fra Touren. </s><s> Treneren for kvinnene tar over for de hjemreiste herretrenerne. </s><s> Australian <coll>Open</coll>","bytter","hotell </s><s> Se Tottenham-Wolverhampton på TV 2 Sport Premium og Sumo fra klokken 19.30 søndag! </s><s> Tottenhams forrykende"
"n24.no","Sandland skal ha bedt Riksadvokaten om å vurdere aktor Arne Ingvald Dymbes objektivitet. </s><s> Helst ville <coll>Sandland</coll> ha","byttet","ham ut. </s><s> Tabell </s><s> Antall innvandrere bosatt i Norge. </s><s> Registrert første år, deretter framskrevet i tre alternativer til"
"nrk.no","måte å jobbe på? </s><s> – Jeg vil si at det er det. </s><s> Jeg kjenner ikke til tilsvarende eksempler. </s><s> Det er ikke noe nytt at <coll>forfattere</coll>","bytter","forlag, men de eksemplene som er kjent i bokbransjen er gjerne knyttet til at forfatterens redaktør har byttet jobb. </s>"
"n24.no","i trikketraseene i sentrum. </s><s> Det vil også påvirke reisemulighetene fra og gjennom Nordre Aker: 13 og <coll>18-trikken</coll>","bytter","endeholdeplass, og reisende mot Storo må dermed forholde seg til et nytt linjenummer. </s><s> Eksotisk i Malta, Bugibba,"
"n24.no","Mary Jenner – alias Kris – kirken Life Change Church i byen Agoura Hills rett utenfor Los Angeles. </s><s> Det private <coll>gudshuset</coll>","byttet","etterhvert navn til litt mer lowkey California Community Church. </s><s> Prisen for medlemskap er 1000 dollar i måneden. </s><s> ("
"n24.no","og hvert slag. </s><s> Men sånn er det ikke. </s><s> Psykisk og fysisk vold er aldri selvforskyldt. </s><s> Ingen skal leve med vold."" </s> <s> <coll>Zaha</coll>","bytter","agent – nå venter overgang </s><s> Wilfried Zaha ville ta det neste steget i karrien forrige sommer med overgang til Arsenal"
"tv2.no","Palace har tilsynelatende hatt effekt av det. </s><s> – Sunderland har ikke byttet, og de har ikke noe momentum. </s> <s> <coll>Middlesbrough</coll>","byttet","manager før kampen mot Manchester United, men de scorer ikke mål. </s><s> Og vinner de ikke kamper, så rykker de ned. </s><s> Så enkelt er"
"nrk.no","Espen Christensen og Simen Holand Pettersen er heller ikke med i kveldens kamptropp. </s><s> Det kan gjøres ubegrenset <coll>antall</coll>","bytter","i løpet av VM blant de 20 spillerne i troppen. </s><s> Det er også mulig å hente inn fem reserver utover 20-mannstroppen, som et"
"tv2.no","og styring automatisk, også på veier uten veioppmerking. </s><s> Ved hjelp av Active Lane Change-assist kan <coll>bilen</coll> selv","bytte","fil når du kjører på motorveien. </s><s> Remote Park Pilot gjør at du nå kan parkere bilen enkelt og problemfritt med din egen"
"nrk.no","seieren. </s><s> Riiber og Watabe gikk sammen ut i langrennet etter at ett tidel skilte i nordmannens favør i bakken. </s> <s> <coll>Duoen</coll>","byttet","på å dra gjennom de fem kilometerne og slapp aldri konkurrentene innpå seg. </s><s> Riiber kom først inn på oppløpet og greide så"
"nrk.no","da Neymar ble revet ned innenfor 16-meteren. </s><s> Straffesparket satt Messi sikkert i krysset. </s><s> Like etterpå ble <coll>Suárez</coll>","byttet","ut. </s><s> Barcelonas femte scoring kom utenfor 16-meteren, men var også av den vakre sorten. </s><s> Rafinha skrudde ballen i"
"tv2.no","bytte nummer. </s><s> Postet bilde med nummer 9 </s><s> Nettopp det virker ikke franskmannen å være særlig tilfreds med. <coll>20-åringen</coll>","byttet","nylig profilbildet sitt på Facebook til et bilde som henviser til hans egen hjemmeside. </s><s> Bildet er prydet med ""am9"" - som"
"tv2.no","Hearts var det beste jeg kunne gjøre. </s><s> Alt har gått veldig bra siden det, sier Johnsen. </s><s> Den 195 centimeter høye <coll>spissen</coll>","byttet","ut Litex Lovetsj med Heart of Midlothian før denne sesongen. </s><s> Der har det blitt seks mål på 34 ligakamper. </s><s> Landslagssjef"
"tv2.no","hvile man skal ha, sier konstituert sjef for kabinpersonale i SAS Anders Bruhn. </s><s> West Bromwich-forsvarer Jonas <coll>Olsson</coll>","bytter","ut Premier League med Allsvenskan og Djurgården. </s><s> Den 34-årige midtstopperen har vært i West Bromwich i ni år, men har nå"
"tv2.no","er litt mer vrient med 3-3. </s><s> Det betyr at kampen må vinnes. </s><s> Borteformen til Molde i serien har vært veldig svak. </s> <s> <coll>Molde</coll> har","byttet","veldig på hvilke spillere som starter, og det tror jeg ikke er noen fordel. </s><s> Mot Ferencvaros i dag ser vi naturligvis det"
"mia.no","ernære sig ved Søfart. </s><s> En stor Deel Fisk sælges i fersk Tilstand til Folk af Omegnen."" </s><s> Småsalg og byttehandel <coll>Fiskeren</coll>","byttet","ofte bort en del av fangsten i matvarer eller han solgte den ut i smått ved brygga i nærmeste by omtrent slik Vincent"
"tv2.no",", selv om den fortsatt selger bra. </s><s> Nå kommer dessuten også nye og spennende Model X, hvilket kanskje gjør at en del <coll>kunder</coll>","bytter","seg opp til denne. </s><s> Dermed kan det fort bli enda flere slike biler på bruktmarkedet, noe som igjen driver prisene nedover"
"tv2.no","Hovlands makker. </s><s> De to har spilt sammen hele treningen torsdag. </s><s> Venstreback: Jonas Svensson og Jørgen <coll>Skjelvik</coll> har","byttet","på å spille der på trening. </s><s> Høyrekant: Her er det Tarik og Moi Elyounoussi som kjemper. </s><s> Moi startet i den posisjonen"
"tv2.no","at hun har angret litt på valget om å reise hjem. </s><s> – I ettertid tenkte jeg mye på hva de andre gjorde og om <coll>André</coll> hadde","byttet","meg ut. </s><s> Jeg angret der og da, men samtidig så måtte jeg reise hjem, sier hun. </s><s> Slik reagerte de andre frierne på at Miriam"
"tv2.no","selv nå også. </s><s> Det er bra. </s><s> Jeg synes faktisk at man bør kunne dette som bileier, forklarer han. </s><s> Omtrent <coll>halvparten</coll> har","byttet","</s><s> – Skift-sesongen var godt i gang den, men så ble det meldt snøvær i begynnelsen av uka og det hele bråtstoppet, sier Urke. </s>"
"n24.no","få store konsekvensar, både økonomiske, helsemessige og vitskaplege, seier prorektor Margareth Hagen. </s><s> Meny </s><s> – <coll>Varer</coll>","bytter","plass og noen stryker oss i nakken, sier de ansatte. </s><s> I natt skal Anita (34) sove over på Coopen i Havøysund - følg"
"n24.no","ble banket 4-1 i serieåpningen av årets sesong av Eliteserien. </s><s> Siden da har lagene hatt en variert sesong. </s> <s> <coll>Start</coll> har","byttet","trener siden sist og begynt å spille jevnere kamper. </s><s> Og der våre helter i gult og svart avsluttet... </s><s> – Resultatet lyver"
"rbk.no","<s> Selv i sluttminuttene med en tomålsledelse angrep Rosenborg. </s><s> Den offensive mentaliteten ble bekreftet da Knut <coll>Tørum</coll>","byttet","ut en småskadet Sapara med Yssouf Kone etter 88 minutter. </s><s> Rosenborg skapte mye de siste minuttene, anført av en meget"
"uia.no","vil jobbe som koreograf i min fremtidige forestilling. </s><s> Jeg er også en stor tilhenger av ""side coaching"" hvor <coll>aktørene</coll>","bytter","på å være regissør/veileder for hverandre, og komme med ideer eller konstruktive tilbakemeldinger. </s><s> En av scenene i"
"sc2.no","og ble slått ut av Slayers_BoxeR i en sinnsykt jevn match i en stor turnering. </s><s> Da var boxer helt på toppen, og <coll>Slayer</coll> hadde","byttet","rase fra T til Z. Husker den matchen godt. </s><s> Frykt i nord før statsbudsjettet: – Det er påfallende at det er så få lekkasjer </s><s> –"
"nrk.no",". </s><s> Brækhus brøt med Sauerland i 2014 etter seks års samarbeid, og startet isteden sitt eget selskap. </s><s> Trener Ulli <coll>Wegner</coll>","byttet","hun ut noen måneder før. </s><s> – Jeg er litt forundret over at de er så såret. </s><s> De drar dette ned på et helt forferdelig nivå, sier"
"drb.no","tak over hodet. </s><s> Resultatet av dette er en splitter ny varmestue med peis. </s><s> I den nye caféen er nips og typiske <coll>souvenirer</coll>","byttet","ut med designprodukter fra Audhild Viken i ene enden og café og andre enden. </s><s> Bergensere ville også ha god mat."
"nrk.no","og smørere etter rennet. </s><s> Hun understreker at ""alle er på lag"", men at det var av broren hun fikk vite at <coll>svenskene</coll> hadde","byttet","ski underveis. </s><s> Ingen i det norske støtteapparatet sa det, til tross for at de er mange i tallet, og selv om planen var å gå"
"n24.no","med reservene før han kjempet seg inn i førstelaget og ble kjent i løpet av 2018-19 sesongen. <coll>23-åringen</coll>","byttet","deretter den nederlandske hovedstaden mot Barcelona, og ble med i de katalanske gigantene for £ 74,5 millioner. </s><s> Ajax"
"tv2.no","én runde kan spille med kun to forsvarsspillere. </s><s> Man har også to wildcard. </s><s> Det betyr at man kan gjøre et ubestemt <coll>antall</coll>","bytter","én runde. </s><s> Det ene kan brukes før jul, det andre etter jul. </s><s> Det finnes flere forskjellige ligaer man kan melde seg på, men"
"nrk.no","lyst opp i regnbuefargene, og langs motorveien ut mot Disneyworld og de andre famlieparkene er <coll>reklameskiltene</coll>","byttet","ut med slagordene Orlando Strong og Pray for Orlando. </s><s> Mange døde med latinamerikansk bakgrunn </s><s> Fra scenen leses de 49"
