"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","20181"
"query","Query:[ws(1, 308331074)]"
"Reference","Left","KWIC","Right"
"nrk.no","om den fortsatt er for dårlig. 41 prosent burde ha vært 50. </s><s> Arbeidsmetodene har blitt helt annerledes. </s> <s> <coll>Teknologien</coll> har","forandret","Stortinget også. </s><s> Vi hadde ingen PC-er, mobiltelefoner eller nettbrett tidligere. </s><s> Nå er det også slik at"
"n24.no","av dem lenger. </s><s> I den tida spilleautomatene stod rundt i butikker og kafeer, var det mye mer action. </s> <s> <coll>Kriminaliteten</coll>","forandrer","karakter med tida. </s><s> Nå skjer det mye ulovlig via internett, sier han.I tillegg er det ett område der en stadig må passe på,"
"tv2.no","mor Marianne, til Ekstra Bladet. </s><s> Venninnens mor skriver i brevet også om hvordan hun har merket at <coll>datteren</coll> har","forandret","seg etter drapet på bestevenninnen. </s><s> – Jeg ser på min datter Sarah og kan se at det er slukket et lys i øynene hennes. </s><s> Hun og"
"nrk.no","Bjørnbakk. </s><s> På bordet foran dem ligger en smarttelefon, en insulinpumpe og en liten boks. </s><s> Sammen har de tre <coll>tingene</coll>","forandra","livet til Fredheim Jensen. </s><s> Hun har diabetes type 1, som betyr at bukspyttkjertelen ikke produserer insulin. </s><s> Det"
"tv2.no","fortelle deg at jeg hadde en Triumph cab. fra 60-tallet for noen år siden. </s><s> Den var ikke spesielt stiv. </s> <s> <coll>Døråpningene</coll>","forandret","seg / flekset nesten med en 1 cm. når jeg kjørte over fartsdumper. </s><s> Det var nesten som å kjøre en motorisert Marshmellow –"
"nrk.no","av mot, optimisme og oppfinnsomhet, sa Obama med klar adresse til Donald Trumps tale for en snau uke siden. </s><s> – <coll>USA</coll> har","forandret","seg gjennom årenes løp, men de verdiene mine besteforeldre lærte meg gjelder fortsatt, og de som truer disse verdiene,"
"nrk.no","januar 2003 til at en invasjon av Irak ikke ville være legitim uten et nytt vedtak i Sikkerhetsrådet. </s><s> Men en <coll>måned</coll> senere","forandret","han mening etter å ha blitt overtalt til å snakke med høytstående amerikanske tjenestemenn og Storbritannias"
"tv2.no","bilfarge. </s><s> Det var slett ikke uvanlig på slutten av det løsslupne 50-tallet, men ti år senere var <coll>situasjonen</coll> dramatisk","forandret",". </s><s> De råeste sminkeselgerne i ""Mary Kay""-konsernet ble belønnet med rosa Cadillacer som firmabiler. </s><s> I alle andre"
"nrk.no","søsteren at han ikke kunne benåde broren av hensyn til folkeopinionen. </s><s> Hør radioreportasjen her: </s><s> – <coll>Folkeopinionen</coll>","forandret","seg </s><s> Den siste henrettelsen fant sted i 1948. </s><s> I boken stiller Asbjørn Jaklin spørsmål om det var likhet for loven i disse"
"mjl.no","og forholdsvis stabilt vær. </s><s> Men alt er relativt og været kan skifte fort. </s><s> God tur og husk fjellvettreglene! </s><s> – Én <coll>bønn</coll>","forandret","hele livet mitt </s><s> En januarmorgen våknet Stein Arild Espeland og var helt frisk. </s><s> Angsten og depresjonen var borte. </s><s> Det"
"akp.no","blitt mindre framtredende? </s><s> Utbyttinga mindre tyngende for arbeiderklassen? </s><s> Imperialismen knust? </s><s> Har <coll>staten</coll>","forandra","klassekarakter? </s><s> For mange er fortida i m-l-bevegelsen ei fortid de er stolte av, og med rette. </s><s> Hva stod vi for? </s><s> Vi tok"
"koi.no",". </s><s> I tillegg tilbyr vi også andre tjenester og teknisk bistand etter forespørsel. </s><s> Dette kan være: </s><s> Sjakkbrett. </s> <s> <coll>Mønster</coll>","forandrer","plass fra høyre side til venstre side osv. </s><s> Barberblad kutt i Kiwa. </s><s> Fargen kuttes rent over skjellet og ikke etter formen"
"fni.no","år. </s><s> Jeg har sett ulike toppsjefer og ulike planer og strategier komme og gå. </s><s> Men nå skjer det faktisk noe. </s><s> Eldar <coll>Sætre</coll> har","forandret","selskapet'', sa Vaage. </s><s> Vannseng eller badekar? </s><s> Men så var det spørsmålet om utslippseffekten når det kommer til"
"nko.no","informasjoner fra alle år siden 1992. </s><s> Høstleir – Finnsnes </s><s> 03/10/2014 - 05/10/2014 </s><s> Gratis </s><s> Kampbildet og <coll>fighting</coll> har","forandret","seg og utviklet seg de siste år. </s><s> Dette kommer til å være et av de fokus som man skal jobbe med under denne samlingen. </s><s> ""Mer"
"sc2.no","også. ::) </s><s> Jeg synes ikke det skal være noen avstemming i forhold til design. </s><s> Se på hvordan det går hver gang <coll>Facebook</coll>","forandrer","layouten sin, og spør hvilken som helst ""design-aktivist"" på Facebook om de kan huske hvordan den forrige layouten var"
"akp.no","ikke ""sin"" lærer, skolene konkurrerer om elever, nasjonale prøver forteller hva lærerne skal undervise i. </s> <s> <coll>Skolen</coll> har","forandra","seg mye på kort tid. </s><s> Hvordan takler en entusiastisk lærer dette? akp.no har intervjua Maren Rismyhr. </s><s> akp.no: Gir ikke"
"akp.no","sjøl omdøpt proletariatets diktatur til sosialistisk folkestyre. </s><s> Mener vi fortsatt det samme eller har <coll>innholdet</coll>","forandra","seg også? </s><s> Hvilke konsekvenser får navnebyttet? </s><s> Dette er store og viktige spørsmål for kommunister og revolusjonære"
"ung.no","å avslutte vennskapen.venner varer </s><s> account_circle </s><s> Besvart 27.05.2017 16:31:06 </s><s> Det er tøft, men noen <coll>ganger</coll>","forandrer","mennesker seg å vennskap grå over. </s><s> Slik vil det alltid være. </s><s> For meg høres det ut som at hun er lit overlegen og kald. </s><s> Kan"
"akp.no","anledningen til å hevne seg på reformistene. </s><s> Hva det vil føre til, er ikke godt å si. </s><s> - I 2001 sa du at dersom <coll>regimet</coll> ikke","forandrer","seg, kan det bli en revolusjon. </s><s> Hvordan ser du på det i dag? </s><s> Jo, det stemmer, men det er ingen kraft i dag som kan organisere"
"akp.no","blir farbart. </s><s> Områdene rundt Nordpolen inneholder noen av verdens største uutnyttede oljereserver. </s> <s> <coll>Periferi</coll>","forandrer","seg til sentrum. </s><s> Plutselig kan det avsidesliggende Norge havne midt i siktet, for å si det sånn. </s><s> Disse perspektivene er"
"ung.no","og være litt med dem når det passer, kan jo gå, men du MÅ jo ikke være like mye med alle, om du ikke føler </s><s> for det. </s> <s> <coll>Vennskap</coll>","forandrer","seg både for deg og for andre i den alderen dere er nå. </s><s> Du finner mer og mer ut av deg selv og ut av hvem du trives med. -Det gjør"
"ung.no","begynte til høsten i åttende, så ble alt forandret... </s><s> Hun jeg brukte å henge med på skolen heter x. </s><s> Og hun andre heter y. <coll>X</coll>","forandret","seg så sinnsykt etter vi startet på ungdomsskolen. </s><s> Vi hadde et veldig sterkt bånd med hverandre, men etterhvert """
"ung.no","på en av guttene i klassen (La oss kalle han Leo) og jeg var sikker på at han likte meg også! </s><s> Så begynte ting å skje.. </s> <s> <coll>Hanna</coll>","forandret","seg til en (unnskyld språkbruket) men rett og slett en hore! </s><s> Hun flørtet med alle guttene, hang med de populære og hun"
"ung.no","har ikke alltid vært slik. </s><s> Før var det mer vanlig å få bunad, smykker, klokker, sølvskjeer og en bibel. </s> <s> <coll>Tidene</coll>","forandrer","seg, og det er helt individuelt hva en får til gaver. </s><s> Ingenting er bedre eller verre. </s><s> Mange som skal gi gave til"
"ung.no","må begge to være enige i det. </s><s> Det er ingen ting i veien for at du flytter for å prøve noe nytt en stund. </s><s> Det er naturlig at <coll>ting</coll>","forandrer","seg og man kan ha godt av å bo litt begge steder. </s><s> Vi har laget noen tips til hvordan du kan ta en vanskelig samtale med voksne"
"uib.no","i verste fall dø, forklarer Cox. </s><s> Det er et lurt lite virus, som er ekspert på å lure menneskers immunsystem. </s><s> Når <coll>viruset</coll>","forandrer","seg er det vanskeligere for kroppen å kjenne igjen viruset og dermed blir vi syke. </s><s> Noen ganger oppstår en virusvariant"
